관리번호,설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,상세위치,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
안양동-9-19,보석빌라 앞,경기도,안양시,경기도 안양시 만안구 양화로72번길 79-19,경기도 안양시 만안구 안양동 695-178,37.40029411,126.9177795179,,알뜰자원,,2025-11-20,3830000,경기도 안양시
안양동-9-18,우수림 빌라 앞,경기도,안양시,경기도 안양시 만안구 양화로72번길 79-7,경기도 안양시 만안구 안양동 873-267,37.39999288,126.9173847,,알뜰자원,,2025-11-20,3830000,경기도 안양시
안양동-9-17,예인 인테리어 앞,경기도,안양시,경기도 안양시 만안구 양화로 75,경기도 안양시 만안구 안양동 908-45,37.40010101,126.9124701,,알뜰자원,,2025-11-20,3830000,경기도 안양시
안양동-9-16,가원주택 앞,경기도,안양시,경기도 안양시 만안구 양화로72번길 67,경기도 안양시 만안구 안양동 873-344,37.3997045627,126.9168468,,알뜰자원,,2025-11-20,3830000,경기도 안양시
안양동-9-15,옆 담벼락,경기도,안양시,경기도 안양시 만안구 양화로72번길 53,경기도 안양시 만안구 안양동 873-336,37.39974489,126.9158862,,알뜰자원,,2025-11-20,3830000,경기도 안양시
안양동-9-14,안양공고 옆 담벼락,경기도,안양시,경기도 안양시 만안구 양화로72번길,,37.39849001,126.9374874,,알뜰자원,,2025-11-20,3830000,경기도 안양시
안양동-9-13,안양공고 옆 담벼락,경기도,안양시,경기도 안양시 만안구 양화로72번길,,37.39849001,126.9374874,,알뜰자원,,2025-11-20,3830000,경기도 안양시
안양동-9-12,안양공고 옆 담벼락,경기도,안양시,경기도 안양시 만안구 양화로72번길,,37.39849001,126.9374874,,알뜰자원,,2025-11-20,3830000,경기도 안양시
안양동-9-11,한솔 씨티빌 앞,경기도,안양시,경기도 안양시 만안구 양화로 56번길3,,37.39849001,126.9374874,,알뜰자원,,2025-11-20,3830000,경기도 안양시
안양동-9-10,청명에이스 앞,경기도,안양시,경기도 안양시 만안구 양화로42번길 10,경기도 안양시 만안구 안양동 945-25,37.3978012536,126.9137118,,알뜰자원,,2025-11-20,3830000,경기도 안양시
안양동-9-9,우성빌라 앞,경기도,안양시,경기도 안양시 만안구 양화로42번길 22,경기도 안양시 만안구 안양동 945-12,37.39813935,126.9137408,,알뜰자원,,2025-11-20,3830000,경기도 안양시
안양동-9-8,양지 2 소공원,경기도,안양시,경기도 안양시 만안구 양화로28번길 15-14,경기도 안양시 만안구 안양동 784-45,37.39726554,126.9147472,,알뜰자원,,2025-11-20,3830000,경기도 안양시
안양동-9-7,양지빌라 앞,경기도,안양시,경기도 안양시 만안구 양화로36번길 22,경기도 안양시 만안구 안양동 946-10,37.39776727,126.9144351,,알뜰자원,,2025-11-20,3830000,경기도 안양시
안양동-9-6,양지우체국 앞,경기도,안양시,경기도 안양시 만안구 양화로47번길9,경기도 안양시 만안구 안양동 921-2,37.39763357,126.912630,,알뜰자원,,2025-11-20,3830000,경기도 안양시
안양동-9-5,정우APT 입구,경기도,안양시,경기도 안양시 만안구 양화로47번길 25,경기도 안양시 만안구 안양동 922-76,37.39757163,126.9117725,,알뜰자원,,2025-11-20,3830000,경기도 안양시
안양동-9-4,서초등학교 담,경기도,안양시,경기도 안양시 만안구 양화로37번길 28-16,경기도 안양시 만안구 안양동 934-3,37.3974046,126.9122267,,알뜰자원,,2025-11-20,3830000,경기도 안양시
안양동-9-3,양화로29번길 31,경기도,안양시,경기도 안양시 만안구 양화로29번길 31,경기도 안양시 만안구 안양동 960-27,37.39634501,126.912626,,알뜰자원,,2025-11-20,3830000,경기도 안양시
안양동-9-2,공영주차장 앞,경기도,안양시,경기도 안양시 만안구 양화로25번길 24-9,경기도 안양시 만안구 안양동 963-1,37.39566476,126.9130976372,,알뜰자원,,2025-11-20,3830000,경기도 안양시
안양동-9-1,삼성아트빌 옆,경기도,안양시,경기도 안양시 만안구 양화로37번길 61,경기도 안양시 만안구 안양동 964-8,37.39538495,126.913069,,알뜰자원,,2025-11-20,3830000,경기도 안양시
관양동-9-111,관악대로 359번길20-20,경기도,안양시,경기도 안양시 동안구 관악대로 359번길20-20,,37.39849001,126.9374874,,알뜰자원,,2025-11-20,3830000,경기도 안양시
관양동-9-110,동편로68번길38,경기도,안양시,경기도 안양시 동안구 동편로68번길38,경기도 안양시 동안구 관양동 1659-14,37.41105342,126.9745649,,알뜰자원,,2025-11-20,3830000,경기도 안양시
관양동-9-109,동편로 39번길 13,경기도,안양시,경기도 안양시 동안구 동편로 39번길 13,경기도 안양시 동안구 관양동 1712-1,37.40789017,126.9724279,,알뜰자원,,2025-11-20,3830000,경기도 안양시
관양동-9-108,동편로 49번길 24,경기도,안양시,경기도 안양시 동안구 동편로 49번길 24,경기도 안양시 동안구 관양동 1701,37.4093503346,126.9728137,,알뜰자원,,2025-11-20,3830000,경기도 안양시
관양동-9-107,동편로 41번길,경기도,안양시,경기도 안양시 동안구 동편로 41번길,,37.39849001,126.9374874,,알뜰자원,,2025-11-20,3830000,경기도 안양시
관양동-9-106,동편로 39번길 13,경기도,안양시,경기도 안양시 동안구 동편로 39번길 13,경기도 안양시 동안구 관양동 1712-1,37.40789017,126.9724279,,알뜰자원,,2025-11-20,3830000,경기도 안양시
관양동-9-105,동편로 24번길 3-24,경기도,안양시,경기도 안양시 동안구 동편로 24번길 3-24,,37.39849001,126.9374874,,알뜰자원,,2025-11-20,3830000,경기도 안양시
관양동-9-104,동편로 183번길 51,경기도,안양시,경기도 안양시 동안구 동편로 183번길 51,경기도 안양시 동안구 관양동 1691-1,37.407925,126.9702134,,알뜰자원,,2025-11-20,3830000,경기도 안양시
관양동-9-103,동편로 183번길 69,경기도,안양시,경기도 안양시 동안구 동편로 183번길 69,경기도 안양시 동안구 관양동 1695,37.40731585,126.9695892,,알뜰자원,,2025-11-20,3830000,경기도 안양시
관양동-9-102,동편로 183번길 59-2,경기도,안양시,경기도 안양시 동안구 동편로 183번길 59-2,경기도 안양시 동안구 관양동 1694,37.40761602,126.9699127,,알뜰자원,,2025-11-20,3830000,경기도 안양시
관양동-9-101,동편로 184번길 19-19,경기도,안양시,경기도 안양시 동안구 동편로 184번길 19-19,경기도 안양시 동안구 관양동 1732-6,37.40572411,126.9699498,,알뜰자원,,2025-11-20,3830000,경기도 안양시
관양동-9-100,동편로 184번길 5,경기도,안양시,경기도 안양시 동안구 동편로 184번길 5,,37.39849001,126.9374874,,알뜰자원,,2025-11-20,3830000,경기도 안양시
관양동-9-99,여원빌라 앞,경기도,안양시,경기도 안양시 동안구 관평로319번길 37,경기도 안양시 동안구 관양동 1389-3,37.40513905,126.9555783227,,알뜰자원,,2025-11-20,3830000,경기도 안양시
