시장명,시장유형,소재지도로명주소,소재지지번주소,시장개설주기,위도,경도,점포수,취급품목,사용가능상품권,홈페이지주소,공중화장실보유여부,주차장보유여부,개설연도,전화번호,데이터기준일자,제공기관코드,제공기관명
성정시장,상설장,충청남도 천안시 서북구 양지21길 31,충청남도 천안시 서북구 성정동 736-7,매일,36.81267105,127.1392027,66,농산물+축산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1988,041-579-8258,2025-11-10,B553077,소상공인시장진흥공단
일동전통시장,상설장,경기도 포천시 일동면 화동로 1090-14,경기도 포천시 일동면 기산리 94-10,매일,37.95978103,127.3194792,35,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1980,,2025-11-10,B553077,소상공인시장진흥공단
운천전통시장,상설장+4일장,경기도 포천시 영북면 영북로 177번길 25,경기도 포천시 영북면 운천리 513-15,4일+9일,38.0899666,127.2722253,48,농산물,,,Y,Y,1990,031-538-2200,2025-11-10,B553077,소상공인시장진흥공단
통복시장,상설장+5일장,경기도 평택시 통복시장로25번길 10,경기도 평택시 통복동 70-29,5일+10일,36.99782533,127.0850763,594,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,blog.naver.com/tongbokmk,Y,Y,1950,031-658-0489,2025-11-10,B553077,소상공인시장진흥공단
송탄시장,상설장+4일장,경기도 평택시 탄현로346번길 38,경기도 평택시 지산동 754-28,4일+9일,37.08146214,127.0567273,142,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1960,031-662-3368,2025-11-10,B553077,소상공인시장진흥공단
안중시장,상설장,경기도 평택시 안중읍 안현로서3길 34,경기도 평택시 안중읍 안중리 269-3,1일+6일,36.98766055,126.9276616,115,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1960,031-686-9979,2025-11-10,B553077,소상공인시장진흥공단
평택국제중앙시장,상설장,경기도 평택시 중앙시장로 16,경기도 평택시 신장동 317-70,매일,37.07987834,127.0521939,217,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1950,031-668-8922,2025-11-10,B553077,소상공인시장진흥공단
서정리시장,상설장,경기도 평택시 서정역로 37,경기도 평택시 서정동 328-35,2일+7일,37.05742213,127.0555064,100,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1950,031-666-4676,2025-11-10,B553077,소상공인시장진흥공단
봉일천시장,상설장,경기도 파주시 조리읍 봉천로 33-1,경기도 파주시 조리읍 봉일천리 168-4,2일+7일,37.74353235,126.8078457,139,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,2017,031-942-0215,2025-11-10,B553077,소상공인시장진흥공단
전주신중앙시장(신중앙시장),상설장,전북특별차치도 전주시 완산구 태평5길 33,전북특별차치도 전주시 완산구 태평동 41-5,매일,35.8241473,127.1434872,161,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,,063-274-7535,2025-11-10,B553077,소상공인시장진흥공단
모래내시장(전주),상설장,전북특별차치도 전주시 덕진구 모래내4길 8-8,전북특별차치도 전주시 덕진구 인후동2가 203-10,매일,35.833574,127.1438694,219,농산물+축산물+수산물+의류+음식점,,,Y,Y,1975,063-278-5808,2025-11-10,B553077,소상공인시장진흥공단
금촌명동로시장,상설장,경기도 파주시 명동길 53,경기도 파주시 금촌동 323-1,매일,37.76330134,126.773362,85,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,2013,,2025-11-10,B553077,소상공인시장진흥공단
금촌문화로시장,상설장,경기도 파주시 문화로 89-1,경기도 파주시 금촌동 66-4,매일,37.76225007,126.7748519,130,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,2013,031-946-5656,2025-11-10,B553077,소상공인시장진흥공단
석바위시장,상설장,인천광역시 미추홀구 경인로 485번길 17-1,인천광역시 미추홀구 주안동 922-6,매일,37.46015327,126.6927408,171,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,https://blog.naver.com/cw_5f,Y,Y,1979,032-426-6877,2025-11-10,B553077,소상공인시장진흥공단
용현시장,상설장,인천광역시 미추홀구 용삼길 13,인천광역시 미추홀구 용현동 459-92,매일,37.45756673,126.6503669,214,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1963,032-886-9318,2025-11-10,B553077,소상공인시장진흥공단
장호원전통시장,상설장+4일장,경기도 이천시 장호원읍 장감로77번길 14,경기도 이천시 장호원읍 장호원리 350,4일+9일,37.11809055,127.631251,64,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스,,http://www.jmarket.org/,Y,Y,1955,031-643-1330,2025-11-10,B553077,소상공인시장진흥공단
사기막골도자기시장,상설장,경기도 이천시 경충대로2993번길 24,경기도 이천시 사음동 536,매일,37.29483104,127.4119796,62,의류+가정용품+음식점+근린생활서비스,,www.sagimakgol.com,Y,Y,1978,031-638-8388,2025-11-10,B553077,소상공인시장진흥공단
관고전통시장,상설장,경기도 이천시 중리천로 31번길 22,경기도 이천시 관고동 10-13,2일+7일,37.2808079,127.4403637,99,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스,,,Y,Y,1930,031-2638-8388,2025-11-10,B553077,소상공인시장진흥공단
의정부제일시장,상설장,경기도 의정부시 태평로 73번길 20,경기도 의정부시 의정부동 160,매일,37.74011951,127.0500672,334,농산물+축산물+수산물+가공식품+의류,,,Y,Y,1976,031-846-2617,2025-11-10,B553077,소상공인시장진흥공단
의정부청과야채시장,상설장,경기도 의정부시 시민로 157번길,,매일,,,67,농산물,,,Y,Y,1978,031-848-1106,2025-11-10,B553077,소상공인시장진흥공단
의정부시장,상설장,경기도 의정부시 시민로143번길 40,경기도 의정부시 의정부동 148-5,매일,37.73944331,127.0511786,40,농산물+축산물+수산물+가공식품,,,Y,Y,1978,,2025-11-10,B553077,소상공인시장진흥공단
의왕도깨비시장,상설장,경기도 의왕시 부곡시장길 18,경기도 의왕시 삼동 192-554,매일,37.3194783,126.9507208,128,농산물+축산물+수산물,,,Y,Y,1980,031-462-0994,2025-11-10,B553077,소상공인시장진흥공단
신정상가시장,상설장,울산광역시 남구 중앙로241번길 14-1,울산광역시 남구 신정동 634-10,매일,35.54197244,129.3090699,252,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스,,http://facebook.com/sinjeongmarket,Y,N,2005,052-274-7388,2025-11-10,B553077,소상공인시장진흥공단
죽전로데오상점가시장,상설장,경기도 용인시 수지구 용구대로 2725-1,경기도 용인시 수지구 죽전동 1003-53,매일,37.32876491,127.1080484,135,가공식품+의류+신발+가정용품+음식점+근린생활서비스,,,Y,Y,1996,,2025-11-10,B553077,소상공인시장진흥공단
