관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자,제공기관코드,제공기관명
44270-00091,공원:805(한진리지구 12),소공원,,충청남도 당진시 송악읍 한진리 374,36.9693119,126.7806358,595,,,,,,2013-07-30,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00105,공원:819(용두리지구),어린이공원,,충청남도 당진시 고대면 용두리 668-3,36.925591,126.597317,1529,,,,,,2016-10-31,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00104,공원:818(용두리지구),근린공원,,충청남도 당진시 고대면 용두리 산20-1,36.92597838,126.5996849,15367,,,,,,2016-10-31,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00103,공원:817(남산지구 어린이공원),어린이공원,,충청남도 당진시 신평면 신흥리 446-87,36.87772468,126.7842678,1501,,,,,,2016-06-30,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00102,공원:816(남산지구 어린이공원),어린이공원,,충청남도 당진시 신평면 남산리 산86-7,36.87328796,126.780432,1752,,,,,,2016-06-30,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00101,공원:815(남산지구 소공원),소공원,,충청남도 당진시 신평면 남산리 3,36.876972,126.779649,1216,,,,,,2016-06-30,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00100,공원:814(매산지구:행담2공원),소공원,,충청남도 당진시 신평면 매산리 516-40,36.9409256,126.8095297,1484,,,,,,2011-12-30,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00099,공원:813(삽교호관광지:2),근린공원,,충청남도 당진시 신평면 운정리 214-5,36.89182902,126.8226069,24496,,,,,,1983-10-10,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00098,공원:812(덕마리지구 13),어린이공원,,충청남도 당진시 정미면 덕마리343-9,36.848864,126.5986445,2161,,,,,,2013-04-22,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00092,공원:806(한진리지구 14),어린이공원,,충청남도 당진시 송악읍 한진리85-1,36.97108845,126.7792587,1503,,,,,,2013-07-30,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00124,공원:석문국가산업단지:5(솔숲공원),근린공원,,충청남도 당진시 석문면 삼봉리 2240,37.0112986,126.5747634,42548,,,,,,2008-06-19,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00123,공원:석문국가산업단지:4(해맞이공원),근린공원,,충청남도 당진시 석문면 장고항리 1430,37.02345327,126.5795684,30866,,,,,,2010-03-30,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00122,공원:석문국가산업단지:3(달맞이공원),근린공원,,충청남도 당진시 석문면 장고항리 1208,37.02093457,126.5807905,9369,,,,,,2008-06-19,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00121,공원:석문국가산업단지:2(석문공원),근린공원,,충청남도 당진시 석문면 통정리 1505,37.00197892,126.5942953,118019,,,,,,2010-03-30,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00120,공원:석문국가산업단지:1(통정공원),근린공원,,충청남도 당진시 석문면 통정리 1347,36.99731253,126.5911586,137479,,,,,,2008-06-19,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00119,공원:석문국가산업단지:1(도량개들어린이공원),어린이공원,,충청남도 당진시 석문면 통정리 1838,36.97685481,126.5895307,5070,,,,,,2008-06-19,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00118,공원:당진1철강 산업단지:공1,소공원,,충청남도 당진시 송악읍 고대리 167-120,36.98308523,126.7391484,1936,,,,,,2012-02-28,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00117,공원:831(창의사 역사공원),역사공원,,충청남도 당진시 대호지면 조금리 산43-1,36.90356144,126.5128776,28049,,,,,,2019-07-23,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00116,공원:830(통정리지구),소공원,,충청남도 당진시 석문면 통정리 388-17,36.979802,126.591192,893,,,,,,2018-12-28,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00115,공원:829(통정리지구),소공원,,충청남도 당진시 석문면 통정리 1160,36.98244558,126.5870909,1514,,,,,,2018-12-28,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00114,공원:828(통정리지구),어린이공원,,충청남도 당진시 석문면 통정리 산 172-8,36.980741,126.593076,7427,,,,,,2018-12-28,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00113,공원:827(통정리지구),어린이공원,,충청남도 당진시 석문면 통정리 401-2,36.98317988,126.5910217,1511,,,,,,2018-12-28,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00112,공원:826(통정리지구),어린이공원,,충청남도 당진시 석문면 통정리 산107-2,36.98446777,126.5883287,1560,,,,,,2018-12-28,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00111,공원:825(통정리지구 1),근린공원,,충청남도 당진시 석문면 통정리 325-4,36.97770187,126.5939414,18267,,,,,,2018-12-28,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00110,공원:824(솔뫼성지),역사공원,,충청남도 당진시 우강면 송산리 147,36.81906765,126.7845921,17133,,,,,,2017-06-30,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00109,공원:823(신리성지 7),역사공원,,충청남도 당진시 합덕읍 신리 70-8,36.762616,126.7711039,36061,,,,,,2010-03-30,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00108,공원:822(용두리지구),소공원,,충청남도 당진시 고대면 용두리 506,36.925068,126.6050354,998,,,,,,2016-10-31,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00107,공원:821(용두리지구),소공원,,충청남도 당진시 고대면 용두리 산13-6,36.926969,126.6037776,773,,,,,,2016-10-31,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00106,공원:820(용두리지구),어린이공원,,충청남도 당진시 고대면 용두리 586-1,36.928862,126.601746,1541,,,,,,2016-10-31,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00148,공원:아산국가산단(고대:9)(해안공원),근린공원,,충청남도 당진시 송악읍 한진리 403-4,36.97606241,126.7775934,11344,,,,,,2005-10-07,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00147,공원:아산국가산단(고대:7)(고대공원),근린공원,,충청남도 당진시 송악읍 한진리 404,36.97310699,126.7587494,90727,,,,,,1998-02-16,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00146,공원:송산2 일반산업단지:9,소공원,,충청남도 당진시 송산면 유곡리 410-34,36.958308,126.6935418,1483,,,,,,2016-01-06,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00145,공원:송산2 일반산업단지:8(두어기공원),소공원,,충청남도 당진시 송산면 유곡리 385,36.9582193,126.6896627,1464,,,,,,2009-09-02,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00144,공원:송산2 일반산업단지:7(누리공원),소공원,,충청남도 당진시 송산면 유곡리 485-7,36.9592673,126.6909362,2613,,,,,,2009-09-02,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00143,공원:송산2 일반산업단지:6(희망공원),소공원,,충청남도 당진시 송산면 유곡리 489,36.9620435,126.6909671,1815,,,,,,2009-09-02,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00142,공원:송산2 일반산업단지:5(명랑공원),소공원,,충청남도 당진시 송산면 유곡리 530-2,36.9649116,126.6909279,800,,,,,,2009-09-02,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00141,공원:송산2 일반산업단지:5(나라공원),어린이공원,,충청남도 당진시 송산면 유곡리 216-2,36.9617526,126.6938131,1705,,,,,,2009-09-02,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00140,공원:송산2 일반산업단지:4(호수공원),근린공원,,충청남도 당진시 송산면 가곡리 46-51,36.99070048,126.682546,23487,,,,,,2009-09-02,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00156,공원:합덕일반산업단지:3(공원),소공원,,충청남도 당진시 합덕읍 소소리 662,36.8172445,126.7462397,2754,,,,,,2008-04-03,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00139,공원:송산2 일반산업단지:4(두레공원),어린이공원,,충청남도 당진시 송산면 유곡리 495-1,36.9617478,126.6918969,1533,,,,,,2011-01-07,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00138,공원:송산2 일반산업단지:4(꾀꼬리공원),소공원,,충청남도 당진시 송산면 유곡리 536,36.9657385,126.6909246,501,,,,,,2009-09-02,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00137,공원:송산2 일반산업단지:3(자연공원),소공원,,충청남도 당진시 송산면 유곡리 산5-7,36.96687327,126.6908439,293,,,,,,2009-09-02,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00136,공원:송산2 일반산업단지:3(나리공원),어린이공원,,충청남도 당진시 송산면 유곡리 194-1,36.9637969,126.6938612,1523,,,,,,2009-09-02,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00135,공원:송산2 일반산업단지:2(파도공원),근린공원,,충청남도 당진시 송산면 가곡리 산54-8,36.96874692,126.6915638,169325,,,,,,2009-09-02,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00134,공원:송산2 일반산업단지:2(꿈공원),어린이공원,,충청남도 당진시 송산면 유곡리 산7-1,36.96661971,126.6934082,1971,,,,,,2009-09-02,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
