개방자치단체코드,관리번호,구분명,근거법령명,화장실명,소재지도로명주소,소재지지번주소,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,개방시간상세,설치연월,화장실소유구분명,오물처리방식,안전관리시설설치대상여부,비상벨설치여부,비상벨설치장소,화장실입구CCTV설치유무,기저귀교환대유무,기저귀교환대장소,리모델링연월,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점
3000000,202530000000100840,개방화장실,법제3조제16호-영제3조제1항제1호,올림픽기념국민생활관,서울특별시 종로구 성균관로 91,서울특별시 종로구 혜화동 1-21,2,2,1,0,0,0,3,1,0,종로구시설관리공단 건강사업부,0221484057,정시,월-금06:00~22:00 토-일09:00~18:00 공휴일 휴관,,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,Y,Y,장애인화장실,N,N,,,2024-12-31,I,2026-05-15 18:43:46,2025-11-10 09:45:40
3000000,202530000000100814,공중화장실,법제3조제16호-영제3조제1항제1호,창덕공원,서울특별시 종로구 권농동 31,서울특별시 종로구 권농동 31,1,1,0,0,0,0,3,0,0,종로구청 도시녹지과,0221482832,정시,9시간,198701,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+여자화장실,Y,N,,,2024-12-31,I,2026-05-15 18:43:46,2025-11-10 09:45:40
3000000,202530000000100961,개방화장실,법제3조제17호-영제3조제2항제1호,쌈지길(지하1층),서울특별시 종로구 인사동길 44,서울특별시 종로구 관훈동 38,1,2,1,1,0,0,1,1,0,쌈지길,,정시,10:30-20:30,,민간,수세식,N,N,,N,N,,,2024-12-31,I,2026-05-15 18:43:46,2025-11-10 09:45:40
3000000,202530000000100926,공중화장실,법제3조제16호-영제3조제1항제1호,신영동 빗물저류조 내 공중화장실,서울특별시 종로구 신영동 123-1,서울특별시 종로구 신영동 123-1,1,1,0,0,0,0,1,0,0,종로구청 청소행정과,0221482383,상시,,201603,공공기관-지방자치단체,수세식,Y,Y,남자화장실+여자화장실,N,N,,,2024-12-31,I,2026-05-15 18:43:46,2025-11-10 09:45:40
3000000,202530000000100868,개방화장실,법제3조제16호-영제3조제1항제1호,창신1동 주민센터,서울특별시 종로구 지봉로 8-6,서울특별시 종로구 창신동 401-3,2,2,1,0,0,0,2,1,0,종로구 창신1동주민센터,0221485394,정시,09:00~18:00,198008,공공기관-지방자치단체,수세식,Y,Y,남자화장실+여자화장실,N,N,,,2024-12-31,I,2026-05-15 18:43:46,2025-11-10 09:45:40
3000000,202530000000100955,개방화장실,법제3조제17호-영제3조제2항제1호,흥사단,서울특별시 종로구 대학로 122,서울특별시 종로구 동숭동 1-28,1,3,0,0,0,0,2,0,0,흥사단,,정시,06:00-22:00,,민간,수세식,N,N,,N,N,,,2024-12-31,I,2026-05-15 18:43:46,2025-11-10 09:45:40
3000000,202530000000100862,공중화장실,법제3조제16호-영제3조제1항제1호,광장시장 나들이 쉼터,서울특별시 종로구 종로32길 19,서울특별시 종로구 종로5가 395-12,3,2,1,0,0,0,4,0,0,광장시장상인연합회,0222698855,정시,08:00~21:00,201106,공공기관-지방자치단체,수세식,Y,Y,남자화장실+여자화장실,N,Y,여자화장실,,2024-12-31,I,2026-05-15 18:43:46,2025-11-10 09:45:40
3000000,202530000000100873,개방화장실,법제3조제16호-영제3조제1항제1호,서울자유시민대학 화장실,서울특별시 종로구 송월길 52,서울특별시 종로구 송월동 1-1 국립기상박물관,6,6,0,0,0,0,6,0,0,서울평생교육진흥원(서울자유시민대학),027392751,정시,09~18,201301,공공기관-국가공공기관,수세식,N,N,,N,Y,여자화장실,,2024-12-31,I,2026-05-15 18:43:46,2025-11-10 09:45:40
3000000,202530000000100978,개방화장실,법제3조제17호-영제3조제2항제1호,북촌단청공방,서울특별시 종로구 창덕궁5길 4,서울특별시 종로구 원서동 41,1,0,0,0,0,0,0,0,0,북촌단청공방,,정시,"12:00~18:00+ 월요일, 일요일 휴무",,민간,수세식,N,N,,N,N,,,2024-12-31,I,2026-05-15 18:43:46,2025-11-10 09:45:40
3000000,202530000000100995,개방화장실,법제3조제17호-영제3조제2항제1호,유림회관(성균관),서울특별시 종로구 성균관로 31,서울특별시 종로구 명륜3가53,3,3,1,0,0,0,3,1,0,유림회관(성균관),,정시,07:00~22:00,,민간,수세식,N,N,,N,N,,,2024-12-31,I,2026-05-15 18:43:46,2025-11-10 09:45:40
